Time 01:12:19  |  Episode 400  |  Beta 1.0  |  Th 43801.44402706279  |  dump 1266.289129173578  |  Cn 257471.57877044874  |  average_tao 67.50497599067191  |  F 221.9665246366068  |  Rwd 242.88431595446687
Time 01:12:53  |  Episode 450  |  Beta 1.0  |  Th 43563.38895932665  |  dump 1360.7382442473656  |  Cn 260835.4186653939  |  average_tao 67.66557290867836  |  F 223.48009902747253  |  Rwd 190.89865706285005
Time 01:13:28  |  Episode 500  |  Beta 1.0  |  Th 43613.898951173025  |  dump 1196.1237883631484  |  Cn 274396.20557193743  |  average_tao 61.41921953192076  |  F 219.84701599120086  |  Rwd 274.21608484188636
Time 01:14:03  |  Episode 550  |  Beta 1.0  |  Th 43639.05416038186  |  dump 1198.5162612209374  |  Cn 263886.0631024609  |  average_tao 63.13791312089897  |  F 219.3254035359248  |  Rwd 273.5229525971682
Time 01:14:39  |  Episode 600  |  Beta 1.0  |  Th 43631.563112954995  |  dump 1126.2191245985637  |  Cn 277801.3432764249  |  average_tao 61.01093562110175  |  F 219.26305380275812  |  Rwd 309.521699959818
Time 01:15:14  |  Episode 650  |  Beta 1.0  |  Th 44172.06263226982  |  dump 1074.9458931087672  |  Cn 279661.4398829515  |  average_tao 60.92251102830916  |  F 220.82676369910988  |  Rwd 345.9683060910127
Time 01:15:49  |  Episode 700  |  Beta 1.0  |  Th 43674.61055103998  |  dump 1064.781971725171  |  Cn 287809.92160219315  |  average_tao 61.173229256586566  |  F 219.41079420977985  |  Rwd 341.10122515821416
Time 01:16:25  |  Episode 750  |  Beta 1.0  |  Th 43777.66265809401  |  dump 1061.9120855397377  |  Cn 273259.837594175  |  average_tao 61.65034182754995  |  F 218.7390140423899  |  Rwd 344.59721039201133
Time 01:17:02  |  Episode 800  |  Beta 1.0  |  Th 44037.73267505081  |  dump 1150.8800071586418  |  Cn 297811.58740890026  |  average_tao 58.16544628185252  |  F 217.85338173033023  |  Rwd 305.3146499216949
Time 01:17:39  |  Episode 850  |  Beta 1.0  |  Th 43869.520525527674  |  dump 1101.0208089021835  |  Cn 295094.7277167812  |  average_tao 59.96053808857463  |  F 218.19730988655556  |  Rwd 326.8800060594619
